commune,station,pm10_value,date_local,seuil_info_recommandation,seuil_alerte
Le Mans,GUEDOU,12.0,2025-05-27,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,12.0,2025-05-27,50,80
Donges,PARSCAU DU PLESSIS,12.0,2025-05-27,50,80
Le Mans,SOURCES,12.0,2025-05-27,50,80
Nantes,CIM BOUTEILLERIE,12.0,2025-05-27,50,80
Rezé,TRENTEMOULT,16.0,2025-05-27,50,80
Bouguenais,LES COUETS,11.0,2025-05-27,50,80
Angers,ROI RENE,15.0,2025-05-27,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-27,50,80
Nantes,PRAIRIE AU DUC,26.0,2025-05-27,50,80
Donges,LA MEGRETAIS,13.0,2025-05-26,50,80
Frossay,FROSSAY,13.0,2025-05-26,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,12.0,2025-05-26,50,80
Cholet,SAINT EXUPERY,17.0,2025-05-26,50,80
Saint-Nazaire,LEON BLUM,13.0,2025-05-26,50,80
Angers,BEAUX ARTS,13.0,2025-05-26,50,80
Laval,MAZAGRAN,13.0,2025-05-26,50,80
La Tardière,LA TARDIERE,11.0,2025-05-26,50,80
La Roche-Sur-Yon,DELACROIX,12.0,2025-05-26,50,80
Le Mans,GUEDOU,16.0,2025-05-26,50,80
Saint-Denis-D'Anjou,SAINT DENIS D'ANJOU,11.0,2025-05-26,50,80
Donges,PARSCAU DU PLESSIS,14.0,2025-05-26,50,80
Le Mans,SOURCES,12.0,2025-05-26,50,80
Nantes,CIM BOUTEILLERIE,13.0,2025-05-26,50,80
Rezé,TRENTEMOULT,19.0,2025-05-26,50,80
Bouguenais,LES COUETS,14.0,2025-05-26,50,80
Angers,ROI RENE,17.0,2025-05-26,50,80
Montoir-De-Bretagne,CAMEE,11.0,2025-05-26,50,80
Nantes,PRAIRIE AU DUC,23.0,2025-05-26,50,80
Donges,LA MEGRETAIS,9.3,2025-05-25,50,80
Frossay,FROSSAY,10.0,2025-05-25,50,80
Saint-Etienne-De-Montluc,SAINT ETIENNE DE MONTLUC,9.3,2025-05-25,50,80
Cholet,SAINT EXUPERY,9.3,2025-05-25,50,80
Saint-Nazaire,LEON BLUM,11.0,2025-05-25,50,80
Angers,BEAUX ARTS,7.2,2025-05-25,50,80
