commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
BESNE,Fermé,62.43,Commerce de détail alimentaire de proximité ou spécialisé,Commerce de détail des viandes,,1984-12-25
LE POIRE-SUR-VIE,Fermé,55.20Z,Hébergement,Hébergement et restauration,2003-01-01,2018-09-01
CHALLANS,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,1989-02-27,2010-09-01
SAINT-MARS-LA-BRIERE,Fermé,43.22A,Travaux de construction spécialisés,Construction,1976-01-01,2011-04-30
NANTES,Fermé,15.8C,Industries agricoles et alimentaires,Industrie manufacturière,,1994-06-30
SAINT-NAZAIRE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2008-01-01,2017-01-01
QUELAINES-SAINT-GAULT,Fermé,84.14,Santé (services marchands),"Vétérinaires, cliniques vétérinaires",,
VALLET,Fermé,79.02,Promoteurs et sociétés immobilières,Promotion en infrastructure (services marchands),,
NANTES,Fermé,70.3A,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",,1993-10-20
LA BAULE-ESCOUBLAC,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2006-03-01,2006-10-31
LE MANS,Fermé,77.39Z,Activités de location et location-bail,Activités de services administratifs et de soutien,1900-01-01,2014-12-25
REZE,Fermé,52.6E,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,,1994-02-04
NANTES,Fermé,64.49,Commerce de détail non alimentaire spécialisé,Commerces de détail divers,,1984-12-25
AUBIGNY-LES CLOUZEAUX,Fermé,45.4A,Construction,Construction,,1992-12-01
LA BOISSIERE-DE-MONTAIGU,Fermé,52.7D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1992-04-06,2002-06-15
ABBARETZ,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1977-01-01,2004-03-31
