commune,etat,activite_principale,soussection,section,date_creation,date_fermeture
LAMNAY,Actif,47.11B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-07-10,
SAINT-GILLES-CROIX-DE-VIE,Actif,68.20B,Activités immobilières,Activités immobilières,2009-10-01,
NANTES,Actif,71.11Z,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2017-03-27,
NANTES,Fermé,90.03A,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2017-06-09,2019-07-01
LA ROCHE-SUR-YON,Fermé,43.39Z,Travaux de construction spécialisés,Construction,2009-05-15,2010-12-31
LAVAL,Fermé,70.1F,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2006-01-07,2007-08-01
LUCON,Actif,68.20B,Activités immobilières,Activités immobilières,2005-04-11,
SAINT-LYPHARD,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2009-10-02,
ANGERS,Actif,47.81Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2010-02-25,
LOIRE-AUTHION,Actif,01.24Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1998-02-01,
NANTES,Fermé,52.6D,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2002-06-26,2004-09-30
NANTES,Actif,96.09Z,Autres services personnels,Autres activités de services,2024-04-03,
ROUANS,Actif,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-09-01,
LE CROISIC,Actif,68.20B,Activités immobilières,Activités immobilières,2023-02-03,
ANGERS,Actif,56.10A,Restauration,Hébergement et restauration,2019-08-28,
COULAINES,Actif,60.10Z,Programmation et diffusion,Information et communication,2023-01-18,
MAUGES-SUR-LOIRE,Actif,49.41A,Transports terrestres et transport par conduites,Transports et entreposage,2004-05-20,
MONTAIGU-VENDEE,Actif,52.21Z,Entreposage et services auxiliaires des transports,Transports et entreposage,1991-09-01,
LA ROCHE-SUR-YON,Fermé,63.2A,Transports et communications,Transports et communications,1992-01-01,2002-12-31
LE BIGNON,Actif,52.21Z,Entreposage et services auxiliaires des transports,Transports et entreposage,1995-09-11,
SAINT-MELAINE-SUR-AUBANCE,Actif,52.21Z,Entreposage et services auxiliaires des transports,Transports et entreposage,2009-07-01,
PORNIC,Fermé,00.10,,,1900-01-01,
NANTES,Actif,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2021-11-08,
TREIZE-SEPTIERS,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2018-11-01,
NANTES,Fermé,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2022-09-26,2023-07-05
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2010-12-14,
HOUSSAY,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2018-01-02,
SAINT-MICHEL-CHEF-CHEF,Actif,68.20B,Activités immobilières,Activités immobilières,1997-05-06,
SAINT-MOLF,Actif,47.29Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-03-14,
SAINT-HERBLAIN,Actif,68.20B,Activités immobilières,Activités immobilières,2016-06-02,
VERTOU,Fermé,74.1J,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",2001-07-03,2003-04-24
SOUCE,Actif,68.20B,Activités immobilières,Activités immobilières,2003-11-12,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2017-02-28,
TALMONT-SAINT-HILAIRE,Fermé,67.01,"Hôtels, cafés, restaurants",Restaurants et cafés-restaurants (sans hébergement),1900-01-01,
SARGE-LES-LE-MANS,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2023-03-31,
LAVAL,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-08-26,2021-07-29
ANGLES,Fermé,68.20B,Activités immobilières,Activités immobilières,2021-01-16,2023-04-30
COURTILLERS,Fermé,46.19B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-04-01,2023-12-31
NANTES,Fermé,95.23Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,2021-03-26,2023-12-31
LA BAULE-ESCOUBLAC,Fermé,68.20A,Activités immobilières,Activités immobilières,2021-04-12,2024-11-19
DONGES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2021-05-01,2024-10-10
LES SABLES D'OLONNE,Fermé,72.19Z,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",2021-04-29,2024-05-27
OMBREE D'ANJOU,Fermé,46.34Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-05-01,2022-12-31
POUZAUGES,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2021-07-01,2021-08-31
SAINT-HERBLAIN,Fermé,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2021-09-28,2021-12-02
LIGNE,Fermé,68.31Z,Activités immobilières,Activités immobilières,2021-09-20,2023-07-10
LOIRON-RUILLE,Fermé,96.09Z,Autres services personnels,Autres activités de services,2022-01-01,2023-06-01
NOIRMOUTIER-EN-L'ILE,Fermé,32.13Z,Autres industries manufacturières,Industrie manufacturière,2021-10-15,2022-06-01
NANTES,Fermé,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2021-11-22,2023-12-13
SEVREMOINE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2021-11-09,2023-12-26
VERRIERES-EN-ANJOU,Fermé,13.92Z,Fabrication de textiles,Industrie manufacturière,2021-10-29,2023-12-31
BOUAYE,Fermé,68.20A,Activités immobilières,Activités immobilières,2021-01-01,2022-12-31
MOISDON-LA-RIVIERE,Fermé,85.59B,Enseignement,Enseignement,2021-12-20,2024-12-30
MONTREVAULT-SUR-EVRE,Fermé,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-12-01,2023-03-22
SAINT-NAZAIRE,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2021-12-31,2023-07-31
LA GUERINIERE,Fermé,68.20A,Activités immobilières,Activités immobilières,2022-02-02,2023-01-15
LA BAULE-ESCOUBLAC,Fermé,56.30Z,Restauration,Hébergement et restauration,2022-05-02,2024-10-24
TRELAZE,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2022-04-01,2025-02-01
CHATEAUBRIANT,Fermé,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2022-03-21,2023-11-08
LAVAL,Fermé,61.90Z,Télécommunications,Information et communication,2022-03-09,2022-04-20
LA PLAINE-SUR-MER,Fermé,94.99Z,Activités des organisations associatives,Autres activités de services,2022-08-22,2023-08-28
BOUIN,Fermé,56.10A,Restauration,Hébergement et restauration,2022-04-01,2024-07-15
COUERON,Fermé,72.19Z,Recherche-développement scientifique,"Activités spécialisées, scientifiques et techniques",2022-05-20,2024-12-31
SAINT-HILAIRE-DE-RIEZ,Fermé,56.10A,Restauration,Hébergement et restauration,2022-05-25,2022-11-30
ANGERS,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2022-06-02,2023-10-05
CHANGE,Fermé,86.22C,Activités pour la santé humaine,Santé humaine et action sociale,2022-06-18,2023-12-31
MAYET,Actif,88.99B,Action sociale sans hébergement,Santé humaine et action sociale,1995-03-06,
SAUTRON,Actif,90.01Z,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",1998-01-01,
CHOLET,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2014-07-15,
SAINT-HERBLAIN,Actif,15.12Z,Industrie du cuir et de la chaussure,Industrie manufacturière,1985-10-02,
CARQUEFOU,Fermé,68.20B,Activités immobilières,Activités immobilières,2015-09-01,2023-10-31
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2024-04-15,
SAINT-BERTHEVIN,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2022-03-11,
SAINT-MICHEL-LE-CLOUCQ,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2016-10-01,2017-01-01
LA GUERINIERE,Actif,68.20B,Activités immobilières,Activités immobilières,2020-06-23,
SAINT-GILLES-CROIX-DE-VIE,Actif,68.10Z,Activités immobilières,Activités immobilières,2000-07-01,
ALLONNES,Actif,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2020-06-11,
VERRIE,Actif,35.11Z,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné","Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2024-08-01,
GREZ-EN-BOUERE,Actif,82.11Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2025-03-24,
ANGERS,Actif,49.42Z,Transports terrestres et transport par conduites,Transports et entreposage,2023-09-01,
LA ROCHE-SUR-YON,Actif,68.20A,Activités immobilières,Activités immobilières,2013-01-01,
REZE,Actif,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,1996-04-13,
LE LANDREAU,Actif,68.20B,Activités immobilières,Activités immobilières,2000-01-01,
CASSON,Actif,68.20A,Activités immobilières,Activités immobilières,1974-01-01,
BALLON-SAINT MARS,Fermé,52.4Z,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2003-01-01,2006-10-01
OREE-D'ANJOU,Actif,68.20B,Activités immobilières,Activités immobilières,2016-06-23,
ANGERS,Actif,68.20A,Activités immobilières,Activités immobilières,2013-01-01,
CHANVERRIE,Fermé,46.75Z,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2017-01-02,2019-02-22
LE MANS,Actif,53.20Z,Activités de poste et de courrier,Transports et entreposage,2024-02-02,
SAINT-LEGER-DE-LINIERES,Fermé,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2010-03-01,2014-06-30
MAUGES-SUR-LOIRE,Fermé,93.12Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",1984-01-01,2018-06-25
LES ACHARDS,Fermé,80.4C,Education,Education,2003-01-01,2006-09-01
CHOLET,Fermé,69.20Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2012-02-01,2019-01-04
SAINT-CYR-DES-GATS,Fermé,01.3Z,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",2000-12-01,2004-03-01
DONGES,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2024-02-01,
ANGERS,Actif,56.10C,Restauration,Hébergement et restauration,2019-10-25,
CHOLET,Actif,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2015-08-05,
ANGERS,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2019-11-21,2020-07-10
TRELAZE,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2016-11-01,2017-06-01
SAUTRON,Fermé,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2004-08-14,2008-01-15
LES SABLES D'OLONNE,Actif,68.20A,Activités immobilières,Activités immobilières,2019-01-01,
ORVAULT,Actif,86.23Z,Activités pour la santé humaine,Santé humaine et action sociale,2021-11-01,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2022-07-20,
LUCON,Fermé,68.20B,Activités immobilières,Activités immobilières,1983-07-02,
VILLAINES-SOUS-LUCE,Actif,01.11Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2017-08-01,
LE MANS,Fermé,46.69B,"Commerce de gros, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2001-12-21,
TALMONT-SAINT-HILAIRE,Fermé,43.32A,Travaux de construction spécialisés,Construction,2011-09-01,2012-09-01
LA TESSOUALLE,Actif,55.30Z,Hébergement,Hébergement et restauration,2020-10-01,
LA TRANCHE-SUR-MER,Actif,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2021-06-27,
ANGERS,Fermé,66.30Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2018-01-25,2020-02-24
DERVAL,Actif,01.50Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1982-07-16,
NANTES,Actif,62.02A,"Programmation, conseil et autres activités informatiques",Information et communication,2023-12-01,
NANTES,Actif,85.52Z,Enseignement,Enseignement,2020-09-26,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2022-03-01,
GUERANDE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2009-10-29,2019-09-09
SAINT-MARCEAU,Actif,55.30Z,Hébergement,Hébergement et restauration,1983-03-16,
CONLIE,Actif,68.20B,Activités immobilières,Activités immobilières,2021-05-27,
SAUMUR,Actif,68.20A,Activités immobilières,Activités immobilières,2018-07-05,
CHALLANS,Actif,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2012-10-01,
SAINT-GEORGES-DU-ROSAY,Fermé,01.42Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1989-12-31,
SAINT-BREVIN-LES-PINS,Actif,96.02A,Autres services personnels,Autres activités de services,2017-05-02,
BLAIN,Fermé,47.78A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2012-06-30,2017-09-26
LE LANDREAU,Actif,68.20B,Activités immobilières,Activités immobilières,2013-10-03,
LE LANDREAU,Fermé,68.20B,Activités immobilières,Activités immobilières,1994-12-25,
LE LANDREAU,Actif,85.20Z,Enseignement,Enseignement,1983-12-21,
BOUGUENAIS,Actif,64.20Z,"Activités des services financiers, hors assurance et caisses de retraite",Activités financières et d'assurance,2024-09-15,
POMMERIEUX,Actif,66.22Z,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2019-12-20,
NANTES,Fermé,45.11Z,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,2024-03-01,
LA BAULE-ESCOUBLAC,Fermé,56.10C,Restauration,Hébergement et restauration,2011-05-02,2014-06-30
CONNERRE,Actif,47.78A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2021-12-01,
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2012-09-03,
PORNIC,Actif,47.82Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-06-01,
PIRIAC-SUR-MER,Actif,68.20B,Activités immobilières,Activités immobilières,2015-05-01,
VIEUVY,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",1983-10-23,
LA POSSONNIERE,Fermé,68.20B,Activités immobilières,Activités immobilières,2008-06-03,2021-02-12
CHATEAUNEUF,Actif,82.19Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2009-04-01,
VERRIERES-EN-ANJOU,Fermé,47.59A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2009-02-04,2009-06-11
FEGREAC,Actif,68.20B,Activités immobilières,Activités immobilières,2007-11-06,
SAINT-LAURENT-SUR-SEVRE,Actif,93.29Z,"Activités sportives, récréatives et de loisirs","Arts, spectacles et activités récréatives",2022-06-15,
SAUTRON,Fermé,68.20B,Activités immobilières,Activités immobilières,2019-01-10,2021-04-30
SAUTRON,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2017-06-19,2019-09-01
PORNICHET,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2010-07-05,2010-09-18
LA BAULE-ESCOUBLAC,Actif,68.20B,Activités immobilières,Activités immobilières,2021-05-31,
SAINT-VINCENT-SUR-JARD,Fermé,45.20A,Commerce et réparation d'automobiles et de motocycles,Commerce ; réparation d'automobiles et de motocycles,1999-11-01,2009-03-31
BOUAYE,Fermé,51.1R,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,1994-08-01,2004-07-31
OREE-D'ANJOU,Fermé,43.99B,Travaux de construction spécialisés,Construction,2018-03-13,2020-07-20
MOUCHAMPS,Actif,01.49Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2019-06-04,
SAVENNIERES,Fermé,43.91B,Travaux de construction spécialisés,Construction,1989-05-01,2020-12-31
DERVAL,Actif,81.21Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2014-08-01,
NANTES,Fermé,80.4C,Education,Education,2006-10-06,
SAINTE-SABINE-SUR-LONGEVE,Actif,55.20Z,Hébergement,Hébergement et restauration,2025-01-01,
NANTES,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2009-01-01,
ANCENIS-SAINT-GEREON,Fermé,73.11Z,Publicité et études de marché,"Activités spécialisées, scientifiques et techniques",2014-11-01,2020-05-28
ANGERS,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2005-12-01,2016-12-01
SAINT-HERBLAIN,Fermé,95.11Z,Réparation d'ordinateurs et de biens personnels et domestiques,Autres activités de services,2007-09-17,2010-10-01
SAUMUR,Fermé,77.14,"Activités d'études, de conseil et d'assistance",Services divers rendus principalement aux entreprises,,1989-04-01
PLESSE,Actif,85.51Z,Enseignement,Enseignement,2019-09-26,
SAINTE-LUCE-SUR-LOIRE,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2022-04-25,
SAINT-NAZAIRE,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2011-08-01,2013-07-15
LES SABLES D'OLONNE,Fermé,86.90D,Activités pour la santé humaine,Santé humaine et action sociale,2009-01-01,2010-04-01
LES SABLES D'OLONNE,Fermé,88.10A,Action sociale sans hébergement,Santé humaine et action sociale,2009-01-01,2013-12-31
SARGE-LES-LE-MANS,Actif,68.20B,Activités immobilières,Activités immobilières,2022-09-23,
BEAUFORT-EN-ANJOU,Fermé,10.89Z,Industries alimentaires,Industrie manufacturière,2008-03-01,2010-09-30
LE GENEST-SAINT-ISLE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2013-01-01,
MONCE-EN-BELIN,Fermé,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2022-02-17,2024-06-19
TELOCHE,Actif,66.19B,Activités auxiliaires de services financiers et d'assurance,Activités financières et d'assurance,2024-06-19,
ORVAULT,Fermé,52.7H,Commerce ; réparations automobile et d'articles domestiques,Commerce ; réparations automobile et d'articles domestiques,2002-04-03,2005-04-22
NANTES,Fermé,43.33Z,Travaux de construction spécialisés,Construction,2010-05-01,2010-10-01
NESMY,Fermé,85.53Z,Enseignement,Enseignement,2014-02-01,2021-12-31
LES SABLES D'OLONNE,Fermé,67.01,"Hôtels, cafés, restaurants",Restaurants et cafés-restaurants (sans hébergement),,1983-10-20
CHANGE,Fermé,01.13Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2018-01-01,2020-06-11
NANTES,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2008-10-23,2010-12-02
CHAVAGNES-EN-PAILLERS,Actif,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2020-01-01,
VERTOU,Fermé,41.10B,Construction de bâtiments,Construction,2017-01-16,2019-03-11
ANGERS,Fermé,74.8F,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1990-03-06,1998-12-31
ESSARTS-EN-BOCAGE,Actif,47.29Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-04-15,
NANTES,Fermé,58.11Z,Édition,Information et communication,2020-02-01,2021-06-28
DOIX LES FONTAINES,Actif,56.10A,Restauration,Hébergement et restauration,2024-12-01,
BALLOTS,Actif,68.20B,Activités immobilières,Activités immobilières,2010-08-01,
SAINT-HERBLAIN,Actif,90.03B,"Activités créatives, artistiques et de spectacle","Arts, spectacles et activités récréatives",2024-01-03,
SAINT-MICHEL-EN-L'HERM,Actif,68.20B,Activités immobilières,Activités immobilières,2020-06-30,
ANGERS,Fermé,47.71Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2018-02-01,2023-12-11
NANTES,Fermé,70.2C,"Immobilier, location et services aux entreprises","Immobilier, location et services aux entreprises",1990-09-19,1999-10-22
LA MILESSE,Actif,43.22A,Travaux de construction spécialisés,Construction,2018-01-24,
NANTES,Actif,68.20B,Activités immobilières,Activités immobilières,2010-10-31,
NANTES,Fermé,68.20B,Activités immobilières,Activités immobilières,2003-07-25,2024-12-04
BRULON,Actif,68.20B,Activités immobilières,Activités immobilières,2023-12-01,
ANGERS,Fermé,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2011-12-06,2017-09-29
CHANVERRIE,Actif,47.99A,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2019-09-30,
THOUARE-SUR-LOIRE,Actif,68.20B,Activités immobilières,Activités immobilières,2022-01-01,
ALLONNES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2009-09-21,2010-02-15
MONTREVAULT-SUR-EVRE,Fermé,01.1A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",2000-01-01,2001-12-01
CHOLET,Actif,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2020-12-01,
CHOLET,Fermé,81.30Z,Services relatifs aux bâtiments et aménagement paysager,Activités de services administratifs et de soutien,2017-09-01,2020-12-01
GUERANDE,Actif,47.91B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2024-09-05,
SAINT-BARTHELEMY-D'ANJOU,Actif,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2012-01-06,
LONGUENEE-EN-ANJOU,Fermé,01.2A,"Agriculture, chasse, sylviculture","Agriculture, chasse, sylviculture",1982-12-31,2002-12-31
NANTES,Fermé,74.10Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2021-10-25,2022-11-01
LA GAUBRETIERE,Actif,14.13Z,Industrie de l'habillement,Industrie manufacturière,2021-02-01,
NANTES,Actif,68.20A,Activités immobilières,Activités immobilières,2022-08-01,
BRETIGNOLLES-SUR-MER,Actif,68.20A,Activités immobilières,Activités immobilières,2013-03-19,
CHANGE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2020-09-08,2020-12-31
NANTES,Fermé,68.20B,Activités immobilières,Activités immobilières,2020-11-29,2023-11-27
ASSERAC,Fermé,03.11Z,Pêche et aquaculture,"Agriculture, sylviculture et pêche",1983-03-11,
NANTES,Actif,70.22Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2022-05-16,
CARQUEFOU,Actif,68.20B,Activités immobilières,Activités immobilières,1986-10-01,
SAINT-PROUANT,Actif,25.62B,"Fabrication de produits métalliques, à l'exception des machines et des équipements",Industrie manufacturière,1982-01-01,
GUENROUET,Fermé,85.3J,Santé et action sociale,Santé et action sociale,2000-01-01,2000-12-31
NANTES,Fermé,43.99C,Travaux de construction spécialisés,Construction,2012-11-06,
AVESSAC,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2018-06-01,2021-02-01
NANTES,Actif,94.99Z,Activités des organisations associatives,Autres activités de services,2018-12-08,
LOIRE-AUTHION,Fermé,49.41B,Transports terrestres et transport par conduites,Transports et entreposage,2014-06-26,2024-01-01
SAINT-HERBLAIN,Actif,68.20A,Activités immobilières,Activités immobilières,2003-08-22,
LES PONTS-DE-CE,Actif,86.21Z,Activités pour la santé humaine,Santé humaine et action sociale,2024-01-31,
AUBIGNY-LES CLOUZEAUX,Fermé,71.11Z,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2010-09-01,2011-12-22
NANTES,Actif,68.10Z,Activités immobilières,Activités immobilières,2009-05-25,
MERAL,Actif,01.41Z,"Culture et production animale, chasse et services annexes","Agriculture, sylviculture et pêche",2002-10-01,
PONT-SAINT-MARTIN,Actif,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2019-02-20,
NANTES,Fermé,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2016-02-04,2018-06-11
NANTES,Fermé,68.10Z,Activités immobilières,Activités immobilières,2016-03-22,2019-09-30
ECOUFLANT,Fermé,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2018-10-01,2023-09-13
SAINT-MARS-LA-REORTHE,Fermé,47.11B,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2016-04-01,2016-11-04
LE MANS,Fermé,62.01Z,"Programmation, conseil et autres activités informatiques",Information et communication,2020-07-20,2021-02-15
SAINT-ANDRE-DES-EAUX,Fermé,10.71C,Industries alimentaires,Industrie manufacturière,2016-04-22,2025-03-27
LE MANS,Fermé,82.99Z,Activités administratives et autres activités de soutien aux entreprises,Activités de services administratifs et de soutien,2016-04-13,2018-03-28
CHANGE,Fermé,70.10Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2016-04-05,2017-11-17
LUCON,Fermé,74.20Z,"Autres activités spécialisées, scientifiques et techniques","Activités spécialisées, scientifiques et techniques",2016-05-11,2023-12-31
FONTENAY-LE-COMTE,Fermé,96.02A,Autres services personnels,Autres activités de services,2016-07-01,2016-11-15
NOZAY,Fermé,43.21A,Travaux de construction spécialisés,Construction,2016-07-01,2023-06-01
GORRON,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2019-02-25,2023-04-04
GORRON,Fermé,69.10Z,Activités juridiques et comptables,"Activités spécialisées, scientifiques et techniques",2016-07-18,2019-02-25
REZE,Fermé,71.12B,Activités d'architecture et d'ingénierie ; activités de contrôle et analyses techniques,"Activités spécialisées, scientifiques et techniques",2016-07-04,2021-03-14
NANTES,Fermé,96.09Z,Autres services personnels,Autres activités de services,2016-08-11,2021-08-31
BRETIGNOLLES-SUR-MER,Fermé,47.89Z,"Commerce de détail, à l'exception des automobiles et des motocycles",Commerce ; réparation d'automobiles et de motocycles,2020-06-15,2021-05-19
BEAUPREAU-EN-MAUGES,Fermé,86.90E,Activités pour la santé humaine,Santé humaine et action sociale,2016-07-18,2017-01-03
JAVRON-LES-CHAPELLES,Fermé,70.21Z,Activités des sièges sociaux ; conseil de gestion,"Activités spécialisées, scientifiques et techniques",2019-10-01,2021-12-31
LAVAL,Fermé,86.90F,Activités pour la santé humaine,Santé humaine et action sociale,2017-02-07,2017-12-01
LA MEILLERAYE-DE-BRETAGNE,Fermé,56.10C,Restauration,Hébergement et restauration,2016-10-14,2022-05-04
